,sentiment,Text,Tokens,Text Length,Word Count,vander_positive,vander_negative,vsentiment,afn_score,afn_sentiment
108,1,love asparagus recently pickled asparagus goodness friend introduced exact brand couldn believe great stuff tasted loved bought pack jars left gonna need,"['love', 'asparagus', 'recently', 'pickled', 'asparagus', 'goodness', 'friend', 'introduced', 'exact', 'brand', 'believe', 'great', 'stuff', 'tasted', 'loved', 'bought', 'pack', 'jars', 'left', 'gonna', 'need']",153,22,52.0,0.0,Very Positive,13.0,very Positive
109,1,presently diet fresh easy neighborhood grocery looking possible diet foods wanted things tasty calories came home dozen items discovered tillen farms pickled crispy asparagus liked asparagus enjoyed brands pickled asparagus tillen farms brand really really good best recall excellent flavor clove garlic looking forward eating believe good asparagus tastes right says calories idea good diet food gary peterson,"['presently', 'diet', 'fresh', 'easy', 'neighborhood', 'grocery', 'looking', 'possible', 'diet', 'foods', 'wanted', 'things', 'tasty', 'calories', 'came', 'home', 'dozen', 'items', 'discovered', 'tillen', 'farms', 'pickled', 'crispy', 'asparagus', 'liked', 'asparagus', 'enjoyed', 'brands', 'pickled', 'asparagus', 'tillen', 'farms', 'brand', 'really', 'really', 'good', 'best', 'recall', 'excellent', 'flavor', 'clove', 'garlic', 'looking', 'forward', 'eating', 'believe', 'good', 'asparagus', 'tastes', 'right', 'says', 'calories', 'idea', 'good', 'diet', 'food', 'gary', 'peterson']",410,58,37.2,0.0,Very Positive,21.0,very Positive
110,0,diappointed flavor texture usually like carb things tried diappointed specific,"['diappointed', 'flavor', 'texture', 'usually', 'like', 'carb', 'things', 'tried', 'diappointed', 'specific']",78,10,21.7,0.0,Very Positive,2.0,Positive
111,1,drinking long time used purchase doctor office wasn available glad amazon drink like folks drink coffee wonderful taste,"['drinking', 'long', 'time', 'used', 'purchase', 'doctor', 'office', 'available', 'glad', 'amazon', 'drink', 'like', 'folks', 'drink', 'coffee', 'wonderful', 'taste']",119,18,43.8,0.0,Very Positive,9.0,very Positive
112,1,drinking royal king natural organic green bags years boxes time save shipping years used drink coffee morning till night finally realized drinking coffee healthy finally resolved improve health stopped drinking coffee tried alternative drinks replace coffee habit green good tasting health benefits green drinks actually makes healthier coffe drinks healthier drink quality cold water opinion price royal king natural organic green best tasting teas green beautiful golden color taste bright fresh recommend adding tiny organic farms honey sweetness health benefits treat having expense tribute long jing fantastic practical drink afford cons latest shipment package shown amazon page different shipped shipped displays naturally high polyphenol catechins contributive element possible health effects amazon package displays caffene free sure green caffene free rips open unwrap string string stuck water unstick,"['drinking', 'royal', 'king', 'natural', 'organic', 'green', 'bags', 'years', 'boxes', 'time', 'save', 'shipping', 'years', 'used', 'drink', 'coffee', 'morning', 'till', 'night', 'finally', 'realized', 'drinking', 'coffee', 'healthy', 'finally', 'resolved', 'improve', 'health', 'stopped', 'drinking', 'coffee', 'tried', 'alternative', 'drinks', 'replace', 'coffee', 'habit', 'green', 'good', 'tasting', 'health', 'benefits', 'green', 'drinks', 'actually', 'makes', 'healthier', 'coffe', 'drinks', 'healthier', 'drink', 'quality', 'cold', 'water', 'opinion', 'price', 'royal', 'king', 'natural', 'organic', 'green', 'best', 'tasting', 'teas', 'green', 'beautiful', 'golden', 'color', 'taste', 'bright', 'fresh', 'recommend', 'adding', 'tiny', 'organic', 'farms', 'honey', 'sweetness', 'health', 'benefits', 'treat', 'expense', 'tribute', 'long', 'jing', 'fantastic', 'practical', 'drink', 'afford', 'cons', 'latest', 'shipment', 'package', 'shown', 'amazon', 'page', 'different', 'shipped', 'shipped', 'displays', 'naturally', 'high', 'polyphenol', 'catechins', 'contributive', 'element', 'possible', 'health', 'effects', 'amazon', 'package', 'displays', 'caffene', 'free', 'sure', 'green', 'caffene', 'free', 'rips', 'open', 'unwrap', 'string', 'string', 'stuck', 'water', 'unstick']",912,127,37.1,2.3,Very Positive,34.0,very Positive
113,1,best teas tasted clean bright fresh great delivery quality just,"['best', 'teas', 'tasted', 'clean', 'bright', 'fresh', 'great', 'delivery', 'quality']",63,10,81.39999999999999,0.0,Very Positive,12.0,very Positive
114,1,love love green hard area places internet charge price usually boxes merchant definitely order seller thanks depend green everyday,"['love', 'love', 'green', 'hard', 'area', 'places', 'internet', 'charge', 'price', 'usually', 'boxes', 'merchant', 'definitely', 'order', 'seller', 'thanks', 'depend', 'green', 'everyday']",130,19,47.599999999999994,4.8,Very Positive,7.0,very Positive
115,1,love helps curb eating given friends,"['love', 'helps', 'curb', 'eating', 'given', 'friends']",36,6,76.7,0.0,Very Positive,5.0,very Positive
116,1,italian lived italy years used cookies everyday breakfast italian espresso couldn area great,"['italian', 'lived', 'italy', 'years', 'used', 'cookies', 'everyday', 'breakfast', 'italian', 'espresso', 'area', 'great']",92,13,25.5,0.0,Very Positive,3.0,very Positive
117,1,spent summers italy biscotti given breakfast food snack simple delicious sold good brought bags recent trip italy great amazon note great open smell contents pour glass milk macines milk great routine treat kids,"['spent', 'summers', 'italy', 'biscotti', 'given', 'breakfast', 'food', 'snack', 'simple', 'delicious', 'sold', 'good', 'brought', 'bags', 'recent', 'trip', 'italy', 'great', 'amazon', 'note', 'great', 'open', 'smell', 'contents', 'pour', 'glass', 'milk', 'macines', 'milk', 'great', 'routine', 'treat', 'kids']",211,33,47.3,0.0,Very Positive,15.0,very Positive
118,1,heard little product local store tried small cats years respectively female younger took right away older male unfortunately weaned junk food corn meal usually refuse diet change actually liked older male overweight trying switch soft food doctor request totally refused posh consumes calories fatty know eating good food course know product cost feline food market just feeding animals lousy alternatives marketed healthy commercials cats eating vegetarian diet corn meal right stay stay tuned updating review months using food cats upgraded stars really good food garfield eats little just doesn exercise face female years couple months healthy tiny happy agile tried chicken version holistic select garfield seemd miss sardine version went ordered duck version update,"['heard', 'little', 'product', 'local', 'store', 'tried', 'small', 'cats', 'years', 'respectively', 'female', 'younger', 'took', 'right', 'away', 'older', 'male', 'unfortunately', 'weaned', 'junk', 'food', 'corn', 'meal', 'usually', 'refuse', 'diet', 'change', 'actually', 'liked', 'older', 'male', 'overweight', 'trying', 'switch', 'soft', 'food', 'doctor', 'request', 'totally', 'refused', 'posh', 'consumes', 'calories', 'fatty', 'know', 'eating', 'good', 'food', 'course', 'know', 'product', 'cost', 'feline', 'food', 'market', 'feeding', 'animals', 'lousy', 'alternatives', 'marketed', 'healthy', 'commercials', 'cats', 'eating', 'vegetarian', 'diet', 'corn', 'meal', 'right', 'stay', 'stay', 'tuned', 'updating', 'review', 'months', 'using', 'food', 'cats', 'upgraded', 'stars', 'really', 'good', 'food', 'garfield', 'eats', 'little', 'exercise', 'face', 'female', 'years', 'couple', 'months', 'healthy', 'tiny', 'happy', 'agile', 'tried', 'chicken', 'version', 'holistic', 'select', 'garfield', 'seemd', 'miss', 'sardine', 'version', 'went', 'ordered', 'duck', 'version', 'update']",770,114,15.0,10.8,Very Positive,6.0,very Positive
119,1,started buying noticed year starting lose spunk decided time start buying real food garbage super markets store million choices sure brands just good went great purchase past months just active kitten coat sooo soft mainly loved taste highly recommend brand friends family animals,"['started', 'buying', 'noticed', 'year', 'starting', 'lose', 'spunk', 'decided', 'time', 'start', 'buying', 'real', 'food', 'garbage', 'super', 'markets', 'store', 'million', 'choices', 'sure', 'brands', 'good', 'went', 'great', 'purchase', 'past', 'months', 'active', 'kitten', 'coat', 'sooo', 'soft', 'mainly', 'loved', 'taste', 'highly', 'recommend', 'brand', 'friends', 'family', 'animals']",280,43,41.4,4.3,Very Positive,14.0,very Positive
120,1,research best food excellent food according holistic veterinarian probiotics kibble step important best thing loved immediately stop mixing food holistic select,"['research', 'best', 'food', 'excellent', 'food', 'according', 'holistic', 'veterinarian', 'probiotics', 'kibble', 'step', 'important', 'best', 'thing', 'loved', 'immediately', 'stop', 'mixing', 'food', 'holistic', 'select']",160,21,50.9,6.3,Very Positive,13.0,very Positive
121,1,food recommended year cleo having trouble keeping food loosing weight stopped problems doesn satisfied eating helps justify added price aids digestion sorry smells gone know mean experiencing problems cats benifits food,"['food', 'recommended', 'year', 'cleo', 'trouble', 'keeping', 'food', 'loosing', 'weight', 'stopped', 'problems', 'satisfied', 'eating', 'helps', 'justify', 'added', 'price', 'aids', 'digestion', 'sorry', 'smells', 'gone', 'know', 'mean', 'experiencing', 'problems', 'cats', 'benifits', 'food']",219,31,17.299999999999997,27.200000000000003,very Negative,-2.0,Negative
122,1,year male chronic urinary tract infections feed food combination food water added ease combination keeps control switch type food gets worse cats enjoy food expensive best solution,"['year', 'male', 'chronic', 'urinary', 'tract', 'infections', 'feed', 'food', 'combination', 'food', 'water', 'added', 'ease', 'combination', 'keeps', 'control', 'switch', 'type', 'food', 'gets', 'worse', 'cats', 'enjoy', 'food', 'expensive', 'best', 'solution']",180,27,32.7,8.3,Very Positive,3.0,very Positive
123,1,educated feline nutrition allowed cats addicted food offered canned wish premium quality canned food limited food year cats year cats good quality foods wellness innova innova manufacturer recently purchased procter gamble began looking replacement offering samples local holistic store holistic select usual wellness innova finicky cats recommend trying holistic select good quality food palatable finicky eaters,"['educated', 'feline', 'nutrition', 'allowed', 'cats', 'addicted', 'food', 'offered', 'canned', 'wish', 'premium', 'quality', 'canned', 'food', 'limited', 'food', 'year', 'cats', 'year', 'cats', 'good', 'quality', 'foods', 'wellness', 'innova', 'innova', 'manufacturer', 'recently', 'purchased', 'procter', 'gamble', 'began', 'looking', 'replacement', 'offering', 'samples', 'local', 'holistic', 'store', 'holistic', 'select', 'usual', 'wellness', 'innova', 'finicky', 'cats', 'recommend', 'trying', 'holistic', 'select', 'good', 'quality', 'food', 'palatable', 'finicky', 'eaters']",413,56,28.000000000000004,2.7,Very Positive,14.0,very Positive
124,1,holistic recommended brands tried cats prefer especially sardine version best coats soft clean eyes clear want rude delicately waste odorous cats mcdonalds junk stores definite plus health benefits obvious highly recommend holistic select,"['holistic', 'recommended', 'brands', 'tried', 'cats', 'prefer', 'especially', 'sardine', 'version', 'best', 'coats', 'soft', 'clean', 'eyes', 'clear', 'want', 'rude', 'delicately', 'waste', 'odorous', 'cats', 'mcdonalds', 'junk', 'stores', 'definite', 'plus', 'health', 'benefits', 'obvious', 'highly', 'recommend', 'holistic', 'select']",238,33,44.6,11.600000000000001,Very Positive,10.0,very Positive
125,1,cats allergic fish beef formula better ingredients prescription diets available kitties active soft shiny food reduces tartar buildup teeth,"['cats', 'allergic', 'fish', 'beef', 'formula', 'better', 'ingredients', 'prescription', 'diets', 'available', 'kitties', 'active', 'soft', 'shiny', 'food', 'reduces', 'tartar', 'buildup', 'teeth']",139,19,23.5,9.2,Very Positive,1.0,Positive
126,1,cats thrive extremely food definitely hair ball throw great weight vendor ships extremely fast amazon suppliers book,"['cats', 'thrive', 'extremely', 'food', 'definitely', 'hair', 'ball', 'throw', 'great', 'weight', 'vendor', 'ships', 'extremely', 'fast', 'amazon', 'suppliers', 'book']",116,17,39.300000000000004,0.0,Very Positive,3.0,very Positive
127,0,spicy maruchan ramen long time enjoy spice love ramen love product expensive amazon walmart,"['spicy', 'maruchan', 'ramen', 'long', 'time', 'enjoy', 'spice', 'love', 'ramen', 'love', 'product', 'expensive', 'amazon', 'walmart']",91,14,57.099999999999994,0.0,Very Positive,8.0,very Positive
128,1,eating ramen noodles little better flavor spicy chicken chilihead like sure good,"['eating', 'ramen', 'noodles', 'little', 'better', 'flavor', 'spicy', 'chicken', 'chilihead', 'like', 'sure', 'good']",80,12,56.3,0.0,Very Positive,7.0,very Positive
129,0,love spicy ramen reasons thing burns stomach badly burning sensation doesn away like hours sure healthy walmart cheaper amazon,"['love', 'spicy', 'ramen', 'reasons', 'thing', 'burns', 'stomach', 'badly', 'burning', 'sensation', 'away', 'like', 'hours', 'sure', 'healthy', 'walmart', 'cheaper', 'amazon']",126,19,45.4,10.5,Very Positive,4.0,very Positive
130,1,ramen quick easy meal finding amazon decent price having delivered door case amazing situation,"['ramen', 'quick', 'easy', 'meal', 'finding', 'amazon', 'decent', 'price', 'delivered', 'door', 'case', 'amazing', 'situation']",94,14,43.3,0.0,Very Positive,5.0,very Positive
131,0,wuss soup tastes imagine taste typically like spicy food good flavor case soup flavor killed burn,"['wuss', 'soup', 'tastes', 'imagine', 'taste', 'typically', 'like', 'spicy', 'food', 'good', 'flavor', 'case', 'soup', 'flavor', 'killed', 'burn']",97,16,23.599999999999998,19.7,Neutral,2.0,Positive
132,1,really loved spicy flavor liking broth noodles usually opposite aren used heat bother like foods,"['really', 'loved', 'spicy', 'flavor', 'liking', 'broth', 'noodles', 'usually', 'opposite', 'used', 'heat', 'bother', 'like', 'foods']",96,15,41.199999999999996,10.5,Very Positive,5.0,very Positive
133,1,sale roughly cents half price local grocery stores plus rarely stock spicy flavors things great snack office time constantly crunched escape real meal favorite flavors instant lunch time goes sale,"['sale', 'roughly', 'cents', 'half', 'price', 'local', 'grocery', 'stores', 'plus', 'rarely', 'stock', 'spicy', 'flavors', 'things', 'great', 'snack', 'office', 'time', 'constantly', 'crunched', 'escape', 'real', 'meal', 'favorite', 'flavors', 'instant', 'lunch', 'time', 'goes', 'sale']",196,30,24.6,0.0,Very Positive,4.0,very Positive
134,1,bought allot different flavors happens favorites getting soon,"['bought', 'allot', 'different', 'flavors', 'happens', 'favorites', 'getting', 'soon']",61,8,28.599999999999998,0.0,Very Positive,2.0,Positive
135,0,love flavor ramen flavors anymore taste bland comparison convenience having delivered home prime days shipping price amazon cheaper pick case grocery store,"['love', 'flavor', 'ramen', 'flavors', 'anymore', 'taste', 'bland', 'comparison', 'convenience', 'delivered', 'home', 'prime', 'days', 'shipping', 'price', 'amazon', 'cheaper', 'pick', 'case', 'grocery', 'store']",155,22,22.8,0.0,Very Positive,3.0,very Positive
136,1,best investment ginger unbelievable fibrous like real ginger spicy kick perfect sugar calms worth getting soon topper ginger cupcakes cookies,"['best', 'investment', 'ginger', 'unbelievable', 'fibrous', 'like', 'real', 'ginger', 'spicy', 'kick', 'perfect', 'sugar', 'calms', 'worth', 'getting', 'soon', 'topper', 'ginger', 'cupcakes', 'cookies']",141,20,53.900000000000006,0.0,Very Positive,11.0,very Positive
137,1,delicious australian ginger live compares favorably australian ginger purchased cities enjoy traveling,"['delicious', 'australian', 'ginger', 'live', 'compares', 'favorably', 'australian', 'ginger', 'purchased', 'cities', 'enjoy', 'traveling']",102,12,51.4,0.0,Very Positive,7.0,very Positive
138,1,trying brands cheaper brands stupid ginger soooo worth money tender moist,"['trying', 'brands', 'cheaper', 'brands', 'stupid', 'ginger', 'soooo', 'worth', 'money', 'tender', 'moist']",73,11,13.3,23.799999999999997,very Negative,2.0,Positive
139,1,acid reflux birth medication available improvement older gentleman came work place told product automatically ordered really expecting better results things tried surprise heartburn symptoms starting eating piece ginger morning actually enjoy product send thank,"['acid', 'reflux', 'birth', 'medication', 'available', 'improvement', 'older', 'gentleman', 'came', 'work', 'place', 'told', 'product', 'automatically', 'ordered', 'really', 'expecting', 'better', 'results', 'things', 'tried', 'surprise', 'heartburn', 'symptoms', 'starting', 'eating', 'piece', 'ginger', 'morning', 'actually', 'enjoy', 'product', 'send', 'thank']",261,34,32.5,0.0,Very Positive,8.0,very Positive
140,0,bought office people sweet snack bite size easier people grab couple pieces entire licorice stick complaint bags broke open shipping,"['bought', 'office', 'people', 'sweet', 'snack', 'bite', 'size', 'easier', 'people', 'grab', 'couple', 'pieces', 'entire', 'licorice', 'stick', 'complaint', 'bags', 'broke', 'open', 'shipping']",132,20,21.6,18.7,Very Positive,-1.0,Negative
141,0,twizzlers brand licorice better known brand package free good deal black cherry good taste strawberry taste delicate barely,"['twizzlers', 'brand', 'licorice', 'better', 'known', 'brand', 'package', 'free', 'good', 'deal', 'black', 'cherry', 'good', 'taste', 'strawberry', 'taste', 'delicate', 'barely']",123,18,50.4,0.0,Very Positive,9.0,very Positive
142,1,love tasty infact think addicted buying packs bags reasonable going target getting savings subscribe save product love subscribe save,"['love', 'tasty', 'infact', 'think', 'addicted', 'buying', 'packs', 'bags', 'reasonable', 'going', 'target', 'getting', 'savings', 'subscribe', 'save', 'product', 'love', 'subscribe', 'save']",133,19,49.7,0.0,Very Positive,11.0,very Positive
143,1,looking messy version licorice children sure soft easy chew hands sticky gross summer beach love flavos chocolate nice snack great item great price highly recommend,"['looking', 'messy', 'version', 'licorice', 'children', 'sure', 'soft', 'easy', 'chew', 'hands', 'sticky', 'gross', 'summer', 'beach', 'love', 'flavos', 'chocolate', 'nice', 'snack', 'great', 'item', 'great', 'price', 'highly', 'recommend']",164,25,51.800000000000004,12.5,Very Positive,13.0,very Positive
144,0,mistaken appears pieces reduced size doubtlessly make appear buyer better deal having pieces problem pieces certain size order flavor eating experience pieces match piece size,"['mistaken', 'appears', 'pieces', 'reduced', 'size', 'doubtlessly', 'make', 'appear', 'buyer', 'better', 'deal', 'pieces', 'problem', 'pieces', 'certain', 'size', 'order', 'flavor', 'eating', 'experience', 'pieces', 'match', 'piece', 'size']",175,25,22.2,16.0,Very Positive,-1.0,Negative
145,1,newman pineapple salsa quite looking comparable salsa best tasting salsas daughters love like super chunky salsa berry mango nice smooth texture small mango pieces salsa sweet just sweet mild nice little kick price steal,"['newman', 'pineapple', 'salsa', 'quite', 'looking', 'comparable', 'salsa', 'best', 'tasting', 'salsas', 'daughters', 'love', 'like', 'super', 'chunky', 'salsa', 'berry', 'mango', 'nice', 'smooth', 'texture', 'small', 'mango', 'pieces', 'salsa', 'sweet', 'sweet', 'mild', 'nice', 'little', 'kick', 'price', 'steal']",220,34,48.6,5.4,Very Positive,19.0,very Positive
146,0,salsa smelled delicious think probably unfortunately person amazon packer probably little stuffing work especially bottoms bottoms broken bottles reached computer told returns cause food item looked customer service face lift proud face lift place contact emergencies like stuff comes styrofoam boxes ship things especially salsa cardboard just stripe large bubble wrap matter carrier careful going break line especially glass container barbara,"['salsa', 'smelled', 'delicious', 'think', 'probably', 'unfortunately', 'person', 'amazon', 'packer', 'probably', 'little', 'stuffing', 'work', 'especially', 'bottoms', 'bottoms', 'broken', 'bottles', 'reached', 'computer', 'told', 'returns', 'cause', 'food', 'item', 'looked', 'customer', 'service', 'face', 'lift', 'proud', 'face', 'lift', 'place', 'contact', 'emergencies', 'like', 'stuff', 'comes', 'styrofoam', 'boxes', 'ship', 'things', 'especially', 'salsa', 'cardboard', 'stripe', 'large', 'bubble', 'wrap', 'matter', 'carrier', 'careful', 'going', 'break', 'line', 'especially', 'glass', 'container', 'barbara']",444,61,20.7,7.9,Very Positive,10.0,very Positive
147,1,best salsas long time stay away variety pack come worth money,"['best', 'salsas', 'long', 'time', 'stay', 'away', 'variety', 'pack', 'come', 'worth', 'money']",61,11,40.400000000000006,0.0,Very Positive,5.0,very Positive
148,0,remind treats using pumpkin cinnamon kind bland favorite nature product finace really loves stars come,"['remind', 'treats', 'using', 'pumpkin', 'cinnamon', 'kind', 'bland', 'favorite', 'nature', 'product', 'finace', 'really', 'loves', 'stars', 'come']",102,15,46.400000000000006,0.0,Very Positive,7.0,very Positive
149,1,best cornmeal regular cornbread water cornbread meal outstanding fried oysters meal gave great texture flovor,"['best', 'cornmeal', 'regular', 'cornbread', 'water', 'cornbread', 'meal', 'outstanding', 'fried', 'oysters', 'meal', 'gave', 'great', 'texture', 'flovor']",109,15,50.6,0.0,Very Positive,11.0,very Positive
150,1,fabulous marinade love chicken baked oven grill flavor flair used dinner parties receive rave reviews guests definitely worth price super cheap super easy love,"['fabulous', 'marinade', 'love', 'chicken', 'baked', 'oven', 'grill', 'flavor', 'flair', 'used', 'dinner', 'parties', 'receive', 'rave', 'reviews', 'guests', 'definitely', 'worth', 'price', 'super', 'cheap', 'super', 'easy', 'love']",159,24,66.5,0.0,Very Positive,19.0,very Positive
151,1,works chicken fish beef pork fast easy makes taste excellent plus buying bulk stores,"['works', 'chicken', 'fish', 'beef', 'pork', 'fast', 'easy', 'makes', 'taste', 'excellent', 'plus', 'buying', 'bulk', 'stores']",84,14,35.5,0.0,Very Positive,4.0,very Positive
152,0,brother jorge cruise diet decided actually tastes pretty good,"['brother', 'jorge', 'cruise', 'diet', 'decided', 'actually', 'tastes', 'pretty', 'good']",61,9,46.6,0.0,Very Positive,4.0,very Positive
153,0,singles sell store singles sure amazon selling singles hazelnut coffee creamer favorite truly good,"['singles', 'sell', 'store', 'singles', 'sure', 'amazon', 'selling', 'singles', 'hazelnut', 'coffee', 'creamer', 'favorite', 'truly', 'good']",98,14,58.699999999999996,0.0,Very Positive,5.0,very Positive
154,1,awesome yummy flavor healthy alternative desserts normally glad things jello desserts taste good good definitentally purchasing product flavor wonderful,"['awesome', 'yummy', 'flavor', 'healthy', 'alternative', 'desserts', 'normally', 'glad', 'things', 'jello', 'desserts', 'taste', 'good', 'good', 'definitentally', 'purchasing', 'product', 'flavor', 'wonderful']",152,19,65.4,0.0,Very Positive,22.0,very Positive
155,1,went grocery stores looking flavor jello green tomato recipe finally jello wonderful evidently carried stores summer harvest time fall couldn town jello tastes like watermelon recipe takes like watermelon great regular jello yummy,"['went', 'grocery', 'stores', 'looking', 'flavor', 'jello', 'green', 'tomato', 'recipe', 'finally', 'jello', 'wonderful', 'evidently', 'carried', 'stores', 'summer', 'harvest', 'time', 'fall', 'town', 'jello', 'tastes', 'like', 'watermelon', 'recipe', 'takes', 'like', 'watermelon', 'great', 'regular', 'jello', 'yummy']",230,33,36.7,0.0,Very Positive,14.0,very Positive
156,1,deal healthiest salt family year problem iodized salt raise blood pressure regular salt,"['deal', 'healthiest', 'salt', 'family', 'year', 'problem', 'iodized', 'salt', 'raise', 'blood', 'pressure', 'regular', 'salt']",87,13,0.0,30.8,very Negative,-3.0,very Negative
157,1,perfect size salt table picnic basket love shakes clumping flows freely,"['perfect', 'size', 'salt', 'table', 'picnic', 'basket', 'love', 'shakes', 'clumping', 'flows', 'freely']",71,11,57.4,0.0,Very Positive,6.0,very Positive
158,1,span class tiny length mins span expiration date months bought product tuna tomato combination delicious items order amazon month edit added short video combination looks like wearing headlamps didn good focusing tuna film doesn look like people view product,"['span', 'class', 'tiny', 'length', 'mins', 'span', 'expiration', 'date', 'months', 'bought', 'product', 'tuna', 'tomato', 'combination', 'delicious', 'items', 'order', 'amazon', 'month', 'edit', 'added', 'short', 'video', 'combination', 'looks', 'like', 'wearing', 'headlamps', 'good', 'focusing', 'tuna', 'film', 'look', 'like', 'people', 'view', 'product']",258,39,28.1,0.0,Very Positive,10.0,very Positive
159,1,heard safcol brand tired trying typical pouches starkist chicken really surprised thought better brands seasoning,"['heard', 'safcol', 'brand', 'tired', 'trying', 'typical', 'pouches', 'starkist', 'chicken', 'really', 'surprised', 'thought', 'better', 'brands', 'seasoning']",113,15,26.400000000000002,14.299999999999999,Very Positive,0.0,Neutral
160,1,best tasting tuna pack make opinion make great snack really satisfying tomato,"['best', 'tasting', 'tuna', 'pack', 'make', 'opinion', 'make', 'great', 'snack', 'really', 'satisfying', 'tomato']",77,12,56.3,0.0,Very Positive,6.0,very Positive
161,0,purchased star kist tuna thought brand change pace taste tuna pleasant basil spices,"['purchased', 'star', 'kist', 'tuna', 'thought', 'brand', 'change', 'pace', 'taste', 'tuna', 'pleasant', 'basil', 'spices']",83,13,21.6,0.0,Very Positive,3.0,very Positive
162,0,familiar safcol brand tuna addict gave shot tuna tastes like good quality tomato basil flavor bland better plain didn pack punch hoping great option calorie meal,"['familiar', 'safcol', 'brand', 'tuna', 'addict', 'gave', 'shot', 'tuna', 'tastes', 'like', 'good', 'quality', 'tomato', 'basil', 'flavor', 'bland', 'better', 'plain', 'pack', 'punch', 'hoping', 'great', 'option', 'calorie', 'meal']",161,26,42.0,0.0,Very Positive,14.0,very Positive
163,1,tastier plain tuna pouches excellent quality need dress micro power minute shazam believe little heating brings flavor,"['tastier', 'plain', 'tuna', 'pouches', 'excellent', 'quality', 'need', 'dress', 'micro', 'power', 'minute', 'shazam', 'believe', 'little', 'heating', 'brings', 'flavor']",118,17,18.8,0.0,Very Positive,5.0,very Positive
164,0,seriously product tasteless come better tasting products calories better special cookie snack pack just season combine share flavor,"['seriously', 'product', 'tasteless', 'come', 'better', 'tasting', 'products', 'calories', 'better', 'special', 'cookie', 'snack', 'pack', 'season', 'combine', 'share', 'flavor']",131,18,42.1,6.7,Very Positive,5.0,very Positive
165,1,read pomegranate molasses haven just eaten little time decadent dark syrupy sour little sweet forget dessert just really unique flavor pleasing metallic undertone going making fesenjan,"['read', 'pomegranate', 'molasses', 'eaten', 'little', 'time', 'decadent', 'dark', 'syrupy', 'sour', 'little', 'sweet', 'forget', 'dessert', 'really', 'unique', 'flavor', 'pleasing', 'metallic', 'undertone', 'going', 'making', 'fesenjan']",184,26,20.599999999999998,5.2,Very Positive,1.0,Positive
166,1,used moroccan recipes syrup brilliant mixed beverage swirled topping sliced oranges soaked orange water wonderful wonderful stuff,"['used', 'moroccan', 'recipes', 'syrup', 'brilliant', 'mixed', 'beverage', 'swirled', 'topping', 'sliced', 'oranges', 'soaked', 'orange', 'water', 'wonderful', 'wonderful', 'stuff']",129,17,44.4,0.0,Very Positive,12.0,very Positive
167,0,know long shelf wouldn cook throw half skins damaged clear sign dried beans past prime return refund food returnable different brand servings beans throw away,"['know', 'long', 'shelf', 'cook', 'throw', 'half', 'skins', 'damaged', 'clear', 'sign', 'dried', 'beans', 'past', 'prime', 'return', 'refund', 'food', 'returnable', 'different', 'brand', 'servings', 'beans', 'throw', 'away']",158,25,9.1,10.2,very Negative,-2.0,Negative
168,0,smaller runts look consistency unfortunately taste like banana runts taste good yucky stuff trying return vendor,"['smaller', 'runts', 'look', 'consistency', 'unfortunately', 'taste', 'like', 'banana', 'runts', 'taste', 'good', 'yucky', 'stuff', 'trying', 'return', 'vendor']",112,16,23.9,23.0,Positive,3.0,very Positive
169,0,item fine banana heads just like banana runts alot smaller received item packaging great banana heads come open shipping packing envelope,"['item', 'fine', 'banana', 'heads', 'like', 'banana', 'runts', 'alot', 'smaller', 'received', 'item', 'packaging', 'great', 'banana', 'heads', 'come', 'open', 'shipping', 'packing', 'envelope']",137,21,31.8,0.0,Very Positive,7.0,very Positive
170,1,purchased giveaway baby shower jungle theme worked perfect small bags candy purchased want small bags purchase larger,"['purchased', 'giveaway', 'baby', 'shower', 'jungle', 'theme', 'worked', 'perfect', 'small', 'bags', 'candy', 'purchased', 'want', 'small', 'bags', 'purchase', 'larger']",117,17,25.0,0.0,Very Positive,4.0,very Positive
171,1,drunk ricore mother allowed drink caffeine love stuff milk smoother tastier instant coffee milk french live bring boxes ricore opportunity savora hidden bring check,"['drunk', 'ricore', 'mother', 'allowed', 'drink', 'caffeine', 'love', 'stuff', 'milk', 'smoother', 'tastier', 'instant', 'coffee', 'milk', 'french', 'live', 'bring', 'boxes', 'ricore', 'opportunity', 'savora', 'hidden', 'bring', 'check']",164,24,23.0,7.9,Very Positive,3.0,very Positive
172,1,drink mother brought visit home brittany france thought delicious wish cheaper love product,"['drink', 'mother', 'brought', 'visit', 'home', 'brittany', 'france', 'thought', 'delicious', 'wish', 'cheaper', 'love', 'product']",91,13,51.5,0.0,Very Positive,7.0,very Positive
